[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000116s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000603s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ view_end ] --START--
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000081s ]
[ 2014-11-20T14:42:21+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000113s ]
[ 2014-11-20T14:42:23+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ route_check ] --START--
[ 2014-11-20T14:42:23+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Run CheckRoute Behavior [ RunTime:0.000231s ]
[ 2014-11-20T14:42:23+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000393s ]
[ 2014-11-20T14:42:23+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-20T14:42:23+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000225s ]
[ 2014-11-20T14:42:23+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000310s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.006070s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | SQL: SELECT COUNT(*) AS tp_count FROM `member` LIMIT 1   [ RunTime:0.000211s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | SQL: SELECT * FROM `member` ORDER BY createtime desc LIMIT 0,10   [ RunTime:0.000157s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ view_template ] --START--
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000238s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000278s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Run ParseTemplate Behavior [ RunTime:0.005929s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005979s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Run ContentReplace Behavior [ RunTime:0.000157s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Run TokenBuild Behavior [ RunTime:0.000145s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000061s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000104s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000557s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ view_end ] --START--
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000068s ]
[ 2014-11-20T14:42:24+08:00 ] /work/server_1/server_admin_1/index.php/Member/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000100s ]
[ 2014-11-20T14:42:38+08:00 ] /work/server_1/server_admin_1/index.php/Account/index | INFO: Tag[ route_check ] --START--
