[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | NOTIC: [8] Undefined index: hospital_name e2da2d048bfd7d0b1b5f4ff882638740.php 第 152 行.
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | NOTIC: [8] Undefined index: hospital_name e2da2d048bfd7d0b1b5f4ff882638740.php 第 152 行.
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | NOTIC: [8] Undefined index: hospital_name e2da2d048bfd7d0b1b5f4ff882638740.php 第 152 行.
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | NOTIC: [8] Undefined index: hospital_name e2da2d048bfd7d0b1b5f4ff882638740.php 第 152 行.
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | NOTIC: [8] Undefined index: hospital_name e2da2d048bfd7d0b1b5f4ff882638740.php 第 152 行.
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | NOTIC: [8] Undefined index: hospital_name e2da2d048bfd7d0b1b5f4ff882638740.php 第 152 行.
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | NOTIC: [8] Undefined index: hospital_name e2da2d048bfd7d0b1b5f4ff882638740.php 第 152 行.
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | NOTIC: [8] Undefined index: hospital_name e2da2d048bfd7d0b1b5f4ff882638740.php 第 152 行.
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | NOTIC: [8] Undefined index: hospital_name e2da2d048bfd7d0b1b5f4ff882638740.php 第 152 行.
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Run ParseTemplate Behavior [ RunTime:0.028188s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028253s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Run ContentReplace Behavior [ RunTime:0.000646s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Run TokenBuild Behavior [ RunTime:0.000635s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000410s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000718s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002579s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Tag[ view_end ] --START--
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001557s ]
[ 2014-11-07T09:36:30+08:00 ] /index.php/Product/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001652s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ route_check ] --START--
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Run CheckRoute Behavior [ RunTime:0.000866s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000959s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ app_begin ] --START--
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000551s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000609s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | NOTIC: [2048] Declaration of BaseModel::add() should be compatible with Model::add($data = '', $options = Array, $replace = false) BaseModel.class.php 第 2 行.
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | NOTIC: [2048] Declaration of BaseModel::delete() should be compatible with Model::delete($options = Array) BaseModel.class.php 第 2 行.
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | NOTIC: [2048] Declaration of BaseModel::select() should be compatible with Model::select($options = Array) BaseModel.class.php 第 2 行.
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | SQL: SHOW COLUMNS FROM `cost` [ RunTime:0.005066s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from `product_cost` where product_id=45 order by `createtime` desc [ RunTime:0.005527s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | SQL: SHOW COLUMNS FROM `product` [ RunTime:0.006527s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from product where id = '45' [ RunTime:0.207764s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ view_template ] --START--
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Run LocationTemplate Behavior [ RunTime:0.002289s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002432s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ view_parse ] --START--
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Run ParseTemplate Behavior [ RunTime:0.023106s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023232s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ view_filter ] --START--
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Run ContentReplace Behavior [ RunTime:0.000616s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Run TokenBuild Behavior [ RunTime:0.000552s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000399s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Run ShowRuntime Behavior [ RunTime:0.000583s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002326s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ view_end ] --START--
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000530s ]
[ 2014-11-07T09:54:10+08:00 ] /index.php/Cost/index/id/45 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000590s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Tag[ route_check ] --START--
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Run CheckRoute Behavior [ RunTime:0.001836s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002008s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Tag[ app_begin ] --START--
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001038s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001156s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | NOTIC: [2048] Declaration of BaseModel::add() should be compatible with Model::add($data = '', $options = Array, $replace = false) BaseModel.class.php 第 2 行.
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | NOTIC: [2048] Declaration of BaseModel::delete() should be compatible with Model::delete($options = Array) BaseModel.class.php 第 2 行.
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | NOTIC: [2048] Declaration of BaseModel::select() should be compatible with Model::select($options = Array) BaseModel.class.php 第 2 行.
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | SQL: SHOW COLUMNS FROM `product` [ RunTime:0.006502s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | SQL: /*D:\wamp\www\shenyh\shop\trunk\server_1\server_admin_1\server_admin\Lib\Model\BaseModel.class.php,121*/select * from product where id = '45' [ RunTime:0.156782s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Tag[ view_template ] --START--
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Run LocationTemplate Behavior [ RunTime:0.001156s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001251s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Tag[ view_parse ] --START--
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Run ParseTemplate Behavior [ RunTime:0.032539s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032645s ]
[ 2014-11-07T09:54:13+08:00 ] /index.php/Cost/add/id/45 | INFO: Tag[ view_filter ] --START--
